Year,Category,Line Item,Value,Unit
2019,Operating Performance,Gross Profit,"33,349",PKR in M
2019,Operating Performance,Operating Profit,"15,025",PKR in M
2019,Operating Performance,PBT,"10,716",PKR in M
2019,Operating Performance,PAT,"7,354",PKR in M
2019,Balance Sheet,Net Assets,"3,256",PKR in M
2019,Balance Sheet,Reserves,"2,802",PKR in M
2019,Balance Sheet,Net Working Capital ,"18,708",PKR in M
2019,Balance Sheet,Long-Term Liabilities,"12,057",PKR in M
2019,Investor Information,GP ratio,28.8,%age
2019,Investor Information,OP ratio,13,%age
2019,Investor Information,PBT ratio,9.2,%age
2019,Investor Information,PAT ratio,6.3,%age
2019,Investor Information,Inventory turnover ratio,4.3,times
2019,Investor Information,Total Asset turnover ratio,1.8,times
2019,Investor Information,Price Earning ratio,49.6,times
2019,Investor Information,Return on capital employed,97,%age
2019,Investor Information,Market value per share,"8,050",PKR
2019,Investor Information,Debt percantage,90,%age
2019,Investor Information,Equity percentage,10,%age
2019,Investor Information,Current ratio,0.6,times
2019,Investor Information,Interest cover ratio,4.4,times
